                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.98026,                 1.0905,                 1.2739,                0.79044,                0.66697,                0.75342,                0.56186,                 1.0136,                 1.0742,                 1.3834,              0.0011059,              0.0011059,              0.0011059
                     36,                  0.985,                 1.0873,                 1.2692,                0.79871,                0.63082,                0.72704,                0.53121,                  1.046,                 1.1435,                 1.4133,              0.0010894,              0.0010894,              0.0010894
                     37,                 0.9782,                  1.075,                 1.2597,                0.79423,                0.61794,                0.72646,                0.53743,                  1.071,                 1.1595,                 1.4113,              0.0010729,              0.0010729,              0.0010729
                     38,                0.96313,                 1.0697,                 1.2627,                0.81493,                0.64183,                0.74294,                0.55165,                 1.0375,                 1.0796,                 1.3998,              0.0010564,              0.0010564,              0.0010564
                     39,                0.97024,                 1.0849,                 1.2523,                0.79795,                0.65352,                0.74503,                0.55109,                 1.0262,                 1.1913,                 1.4189,              0.0010399,              0.0010399,              0.0010399
                     40,                0.96118,                 1.0659,                 1.2528,                0.77711,                  0.681,                0.74056,                0.55042,                 1.0765,                  1.074,                 1.4178,              0.0010234,              0.0010234,              0.0010234
                     41,                0.96384,                 1.0462,                 1.2505,                0.79207,                0.64625,                0.75583,                0.57061,                0.98643,                  1.091,                 1.3635,              0.0010069,              0.0010069,              0.0010069
                     42,                0.94272,                 1.0269,                 1.2413,                0.77057,                0.65233,                 0.7449,                0.56138,                 1.0149,                 1.0686,                  1.382,             0.00099036,             0.00099036,             0.00099036
                     43,                0.95452,                 1.0569,                 1.2538,                0.79819,                0.62366,                0.73615,                0.54715,                 1.0096,                 1.0614,                 1.3859,             0.00097386,             0.00097386,             0.00097386
                     44,                0.95651,                 1.0363,                   1.25,                0.80344,                0.66667,                0.75476,                0.56655,                0.96724,                 1.0686,                 1.3836,             0.00095736,             0.00095736,             0.00095736
                     45,                0.94505,                 1.0456,                 1.2373,                0.81167,                0.66423,                0.75558,                0.57455,                 1.0516,                 1.0723,                 1.4039,             0.00094085,             0.00094085,             0.00094085
                     46,                0.94511,                 1.0389,                 1.2474,                0.76206,                0.66579,                0.74428,                0.55097,                0.97913,                 1.1106,                  1.386,             0.00092435,             0.00092435,             0.00092435
                     47,                0.93468,                   1.02,                 1.2342,                  0.827,                0.67145,                0.77892,                0.58714,                0.99381,                 1.0092,                 1.3795,             0.00090785,             0.00090785,             0.00090785
                     48,                0.93665,                 1.0064,                  1.238,                0.77399,                0.66667,                 0.7518,                0.56654,                 1.0197,                 1.0551,                  1.387,             0.00089134,             0.00089134,             0.00089134
                     49,                0.92872,                 1.0016,                 1.2322,                0.77923,                0.66627,                 0.7543,                0.57068,                 1.0223,                 1.0851,                 1.3834,             0.00087484,             0.00087484,             0.00087484
                     50,                0.91809,                0.99869,                  1.227,                0.78938,                0.66547,                0.75275,                0.57609,                0.95439,                 1.0685,                 1.3442,             0.00085834,             0.00085834,             0.00085834
                     51,                0.90474,                0.98315,                 1.2215,                 0.8337,                 0.6768,                0.77386,                0.59075,                0.99567,                 1.0197,                 1.3719,             0.00084184,             0.00084184,             0.00084184
                     52,                0.92285,                0.99102,                 1.2279,                0.81089,                0.67503,                0.77475,                0.58405,                0.97539,                 1.0049,                 1.3476,             0.00082533,             0.00082533,             0.00082533
                     53,                 0.9172,                 1.0018,                 1.2239,                0.85323,                0.65288,                0.77223,                0.58956,                0.94418,                 1.0054,                 1.3463,             0.00080883,             0.00080883,             0.00080883
                     54,                  0.922,                0.99394,                 1.2269,                0.81584,                0.68698,                0.77956,                0.59344,                 1.0157,                0.99351,                 1.3748,             0.00079233,             0.00079233,             0.00079233
                     55,                0.90559,                0.97159,                 1.2135,                0.78963,                0.69512,                0.78048,                0.60595,                0.94924,                 1.0057,                 1.3405,             0.00077582,             0.00077582,             0.00077582
                     56,                0.89916,                0.97676,                 1.2124,                0.81916,                0.68698,                0.77824,                0.59924,                0.94117,                 1.0036,                 1.3519,             0.00075932,             0.00075932,             0.00075932
                     57,                0.90087,                0.97154,                 1.2161,                0.83226,                0.67579,                 0.7791,                  0.602,                0.90671,                 1.0078,                 1.3381,             0.00074282,             0.00074282,             0.00074282
                     58,                0.89484,                0.95173,                 1.2068,                0.79473,                0.70772,                0.78328,                0.60376,                0.99044,                 1.0015,                 1.3666,             0.00072631,             0.00072631,             0.00072631
                     59,                0.88947,                0.96588,                  1.209,                0.79699,                0.68578,                0.77433,                0.59674,                0.92137,                0.97367,                 1.3525,             0.00070981,             0.00070981,             0.00070981
                     60,                0.88225,                0.94513,                 1.1946,                0.87259,                0.65114,                0.78489,                0.60417,                0.91282,                0.95598,                 1.3406,             0.00069331,             0.00069331,             0.00069331
                     61,                0.88441,                0.94511,                  1.203,                0.79675,                0.68846,                0.78194,                0.60306,                0.96152,                 1.1425,                 1.3441,              0.0006768,              0.0006768,              0.0006768
                     62,                0.87257,                0.94349,                 1.2019,                0.81348,                0.70131,                0.78562,                0.60385,                0.96149,                0.99369,                 1.3528,              0.0006603,              0.0006603,              0.0006603
                     63,                0.87012,                0.93691,                 1.1927,                0.81621,                0.70036,                0.78448,                0.60278,                0.92697,                0.95681,                  1.336,              0.0006438,              0.0006438,              0.0006438
