                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3461,                 1.0502,                 1.2689,                0.76959,                0.67033,                0.73524,                0.40151,                 1.5107,                 1.0568,                 1.3152,             0.00047522,             0.00047522,             0.00047522
                      2,                 1.3335,                0.94493,                 1.2458,                0.83942,                0.68474,                0.77023,                0.43718,                 1.3965,                0.83966,                 1.2224,             0.00063754,             0.00063754,             0.00063754
                      3,                 1.2308,                0.85316,                 1.1934,                0.86434,                0.72571,                0.81474,                0.49778,                 1.2442,                 0.7295,                 1.1424,             0.00048548,             0.00048548,             0.00048548
