                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6557,                 1.3103,                 1.4863,                0.69442,                0.64961,                0.66434,                0.23494,                 2.3055,                 1.2996,                 1.7822,               0.006634,               0.006634,               0.006634
                     36,                 1.6438,                 1.2891,                 1.4871,                 0.7598,                0.64961,                0.70355,                0.25053,                 2.2748,                 1.2053,                 1.7226,               0.006535,               0.006535,               0.006535
                     37,                 1.6278,                 1.2785,                 1.4917,                0.72191,                0.64104,                0.66249,                 0.2258,                 2.3599,                 1.2532,                 1.8103,               0.006436,               0.006436,               0.006436
                     38,                 1.6293,                 1.2807,                 1.4836,                0.75787,                0.65456,                0.68361,                0.25166,                 2.2037,                 1.2138,                 1.7386,               0.006337,               0.006337,               0.006337
                     39,                 1.6175,                 1.2676,                 1.4758,                0.78704,                0.67829,                0.72171,                 0.2885,                 2.1045,                 1.1745,                 1.6475,               0.006238,               0.006238,               0.006238
                     40,                  1.608,                 1.2393,                 1.4683,                0.74975,                0.70652,                 0.7298,                0.27374,                 2.1966,                 1.1806,                 1.6802,               0.006139,               0.006139,               0.006139
                     41,                 1.5975,                 1.2103,                 1.4554,                0.76854,                0.66407,                0.71609,                0.26488,                 2.2092,                 1.1828,                 1.7083,                0.00604,                0.00604,                0.00604
                     42,                 1.5755,                 1.2122,                 1.4482,                0.73168,                0.67297,                0.69224,                0.25693,                 2.2208,                 1.1855,                 1.7244,               0.005941,               0.005941,               0.005941
                     43,                 1.5651,                 1.1759,                 1.4372,                0.80282,                0.72914,                0.77193,                0.30359,                 2.0951,                 1.1228,                 1.6546,               0.005842,               0.005842,               0.005842
                     44,                 1.5623,                 1.1831,                  1.432,                0.78054,                0.67964,                0.73218,                0.26899,                 2.1886,                  1.182,                 1.7246,               0.005743,               0.005743,               0.005743
