                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                  1.037,                0.66115,                 1.0894,                0.91435,                0.80828,                 0.8862,                0.59152,                 1.0353,                0.55346,                 1.0418,               0.006535,               0.006535,               0.006535
                     37,                 1.0319,                0.65316,                 1.0871,                0.90732,                0.81211,                 0.8874,                0.58875,                 1.0462,                0.55959,                 1.0452,               0.006436,               0.006436,               0.006436
                     38,                 1.0275,                0.65432,                 1.0858,                0.91936,                 0.8143,                0.89287,                0.59867,                 1.0288,                0.54239,                 1.0375,               0.006337,               0.006337,               0.006337
                     39,                 1.0209,                0.64695,                 1.0833,                0.92287,                 0.8151,                0.89479,                0.59977,                 1.0215,                0.53968,                 1.0315,               0.006238,               0.006238,               0.006238
                     40,                 1.0207,                0.65201,                 1.0857,                0.92294,                0.81343,                0.89209,                0.59851,                 1.0234,                0.54225,                 1.0354,               0.006139,               0.006139,               0.006139
                     41,                 1.0134,                0.64186,                 1.0804,                 0.9262,                0.81451,                0.89368,                0.59917,                 1.0222,                0.53616,                 1.0374,                0.00604,                0.00604,                0.00604
                     42,                 1.0075,                0.63695,                 1.0782,                0.91879,                0.82531,                0.89716,                0.60253,                 1.0193,                0.52752,                 1.0329,               0.005941,               0.005941,               0.005941
                     43,                 1.0104,                0.63777,                 1.0785,                0.91755,                0.81663,                0.89416,                0.60219,                  1.017,                0.53318,                 1.0329,               0.005842,               0.005842,               0.005842
                     44,                 1.0042,                0.63531,                  1.075,                0.92278,                0.81869,                 0.8965,                0.60575,                 1.0067,                0.52477,                 1.0279,               0.005743,               0.005743,               0.005743
                     45,                 1.0011,                0.63022,                 1.0733,                  0.922,                  0.819,                0.89604,                0.60718,                 1.0055,                0.52549,                 1.0264,               0.005644,               0.005644,               0.005644
                     46,                0.99898,                 0.6294,                 1.0735,                0.92057,                0.82498,                0.89847,                0.60729,                 1.0025,                 0.5254,                 1.0276,               0.005545,               0.005545,               0.005545
                     47,                 0.9988,                0.62439,                 1.0709,                0.92194,                0.82314,                0.89976,                0.61017,                0.99718,                 0.5171,                 1.0237,               0.005446,               0.005446,               0.005446
                     48,                0.99449,                0.62404,                 1.0741,                0.92181,                0.82205,                0.89783,                0.60799,                 1.0056,                0.51874,                 1.0302,               0.005347,               0.005347,               0.005347
                     49,                0.98886,                0.62261,                 1.0703,                 0.9263,                0.82389,                0.89947,                0.60973,                 1.0022,                0.51526,                 1.0256,               0.005248,               0.005248,               0.005248
                     50,                0.98728,                0.61644,                 1.0668,                0.91796,                0.82724,                0.89889,                0.61159,                0.99333,                0.51704,                 1.0221,               0.005149,               0.005149,               0.005149
                     51,                 0.9857,                0.61169,                 1.0656,                0.92257,                0.82908,                0.90233,                0.61361,                0.99786,                0.50974,                 1.0235,                0.00505,                0.00505,                0.00505
